batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1,c4:41:1e:fa:08:88#1,c4:41:1e:fa:08:89#1,c4:41:1e:fa:08:8a#1,ca:41:1e:fa:08:88#1
cbae16135882d346405cbd4d865b6762,0.0000,4.0000,0.0000,google,Pixel 3a,1.00,49,14.295000000000,-1.358000000000,-0.884000000000,20.698000000000,8.516000000000,7.006000000000,37.582000000000,16.816000000000,18.471000000000,-100,-100,-100,19.489000000000,0.620000000000,4.114000000000,16.239000000000,24.682000000000,7.929000000000,6.127000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,10,20.070000000000,3.366000000000,3.314000000000,23.357000000000,5.013000000000,5.263000000000,29.595000000000,13.245000000000,12.631000000000,-100,-100,-100,13.525000000000,4.011000000000,4.379000000000,13.876000000000,19.757000000000,4.413000000000,1.771000000000,19.444000000000
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,11,19.770000000000,3.276000000000,3.451000000000,22.882000000000,5.088000000000,5.204000000000,29.838000000000,13.363000000000,12.729000000000,-100,-100,29.604000000000,13.555000000000,3.976000000000,4.423000000000,13.708000000000,19.457000000000,4.188000000000,1.615000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,12,19.516000000000,3.238000000000,3.353000000000,22.732000000000,5.013000000000,5.131000000000,29.491000000000,13.251000000000,13.080000000000,-100,23.344000000000,-100,13.494000000000,3.918000000000,4.254000000000,13.751000000000,20.232000000000,4.535000000000,1.810000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,13,18.832000000000,3.176000000000,3.314000000000,22.882000000000,4.969000000000,5.394000000000,29.295000000000,13.276000000000,13.041000000000,-100,-100,29.595000000000,13.586000000000,3.939000000000,4.367000000000,13.789000000000,19.920000000000,4.069000000000,1.674000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,14,18.935000000000,3.101000000000,3.432000000000,22.732000000000,4.926000000000,5.189000000000,29.604000000000,13.401000000000,21.010000000000,-100,-100,-100,13.438000000000,4.068000000000,4.420000000000,13.830000000000,19.294000000000,4.379000000000,1.693000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,15,20.707000000000,3.945000000000,3.627000000000,22.107000000000,5.048000000000,5.131000000000,30.195000000000,13.060000000000,12.748000000000,-100,23.520000000000,-100,13.553000000000,4.014000000000,4.479000000000,13.792000000000,19.757000000000,4.416000000000,1.576000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,16,19.526000000000,3.248000000000,3.393000000000,22.807000000000,5.168000000000,5.131000000000,29.482000000000,13.248000000000,12.533000000000,-100,-100,29.595000000000,13.464000000000,4.007000000000,4.354000000000,13.839000000000,19.770000000000,4.388000000000,1.752000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,17,19.301000000000,3.638000000000,3.275000000000,23.044000000000,5.038000000000,4.975000000000,29.613000000000,13.201000000000,21.801000000000,-100,23.194000000000,-100,13.501000000000,3.857000000000,4.573000000000,13.704000000000,19.291000000000,4.188000000000,1.586000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,18,19.757000000000,3.220000000000,3.353000000000,22.732000000000,4.963000000000,5.248000000000,29.607000000000,13.279000000000,12.787000000000,-100,-100,-100,13.408000000000,3.918000000000,4.283000000000,13.914000000000,19.526000000000,4.466000000000,1.654000000000,-100
